text,intent
"Check the ship status.","check_status"
"Give me the sensor report.","check_status"
"What's our oxygen level?","check_status"
"How are the systems running?","check_status"
"Show me the current readings.","check_status"
"Detect any warnings.","check_status"
"Show me the ship speed.","check_status"
"Status check.","check_status"
"Check health condition.","check_status"
"Tell me the temperature.","check_status"
"check oxygen level","check_status"
"show internal pressure","check_status"
"pressure reading please","check_status"
"check temperature inside","check_status"
"show life support readings","check_status"
"check power levels","check_status"
"battery status","check_status"
"fuel remaining","check_status"
"check fuel status","check_status"
"check radiation levels","check_status"
"air quality status","check_status"
"display navigation status","check_status"
"system health check","check_status"
"are there any warnings","check_status"
"scan life support","check_status"
"monitor all systems","check_status"
"check autopilot status","check_status"
"show me cabin pressure","check_status"
"scan for issues","check_status"
"show me oxygen level","check_status"

"Open the door.","control_door"
"Close the airlock.","control_door"
"Seal the hatch.","control_door"
"Open airlock number 3.","control_door"
"Shut the main gate.","control_door"
"Lock the door.","control_door"
"Unlock the room.","control_door"
"Close the hatch.","control_door"
"open the door","control_door"
"close the door","control_door"
"lock the cabin door","control_door"
"unlock the cabin door","control_door"
"open cabin door","control_door"
"close cabin door","control_door"
"seal the door","control_door"
"unseal the door","control_door"
"open airlock","control_door"
"close airlock","control_door"
"open the emergency door","control_door"
"close the emergency door","control_door"
"unlock airlock","control_door"
"lock room 2","control_door"
"unlock room 2","control_door"
"open room number 2","control_door"
"close room number 2","control_door"
"slide the door open","control_door"
"slide the door closed","control_door"
"grant access to cabin","control_door"
"revoke access to cabin","control_door"
"secure maintenance hatch","control_door"

"Shutdown the system now.","system_control"
"Reboot the main computer.","system_control"
"Restart the engine control.","system_control"
"Power off the module.","system_control"
"Turn off all active processes.","system_control"
"Restart system now.","system_control"
"shutdown engine","system_control"
"reboot the system","system_control"
"restart engine","system_control"
"turn on all active processes","system_control"
"switch to backup power","system_control"
"activate emergency power mode","system_control"
"disable emergency power mode","system_control"
"reset communication module","system_control"
"reinitialize life support system","system_control"
"start oxygen recycling unit","system_control"
"shutdown oxygen recycling unit","system_control"
"activate shield generator","system_control"
"deactivate shield generator","system_control"
"switch to manual control","system_control"
"enable autopilot","system_control"
"disable autopilot","system_control"
"activate propulsion boosters","system_control"
"shutdown main reactor","system_control"
"start main reactor","system_control"
"reset thermal sensors","system_control"
"reboot navigation computer","system_control"
"shutdown navigation computer","system_control"
"run full system reboot","system_control"
"disable cooling unit","system_control"

"What is a red giant?","ask_info"
"Explain a black hole.","ask_info"
"Tell me about a neutron star.","ask_info"
"Define supernova.","ask_info"
"Give information on galaxies.","ask_info"
"What is dark matter?","ask_info"
"what is gravity","ask_info"
"define gravity","ask_info"
"explain gravity","ask_info"
"what is a star","ask_info"
"define universe","ask_info"
"how big is the universe","ask_info"
"explain dark matter","ask_info"
"explain neutron stars","ask_info"
"what is a quasar","ask_info"
"how are planets formed","ask_info"
"what is the milky way","ask_info"
"explain wormholes","ask_info"
"what is quantum entanglement","ask_info"
"what is antimatter","ask_info"
"how hot is the sun","ask_info"
"what is an exoplanet","ask_info"
"why do planets orbit","ask_info"
"what causes auroras","ask_info"
"how does gravity work","ask_info"
"what is a supernova","ask_info"
"why is space dark","ask_info"
"what is a comet","ask_info"
"what is light speed","ask_info"
"tell me about the universe","ask_info"

"There is a fire in the module!","emergency"
"Pressure is dropping fast!","emergency"
"I can't breathe, oxygen is low!","emergency"
"Hull breach detected!","emergency"
"We have an explosion in section 3!","emergency"
"Help me, I see smoke!","emergency"
"Oxygen leak detected!","emergency"
"We are dying!","emergency"
"There is smoke everywhere!","emergency"
"Life support failing, help now!","emergency"
"Critical oxygen failure!","emergency"
"We are suffocating!","emergency"
"Cabin is full of smoke!","emergency"
"Fire detected inside the cabin!","emergency"
"Emergency! We need help!","emergency"
"I smell burning, help!","emergency"
"I see heavy smoke, danger!","emergency"
"Help urgently, smoke is everywhere!","emergency"
"Oxygen pressure falling fast!","emergency"
"Critical danger inside cabin!","emergency"
"Fire detected, evacuate!","emergency"
"Smoke is increasing!","emergency"
"I cannot breathe, emergency!","emergency"
"Help me urgently, I see smoke!","emergency"
"Danger inside the room!","emergency"
"We are in danger, please assist!","emergency"
"Toxic fumes detected!","emergency"
"Explosion risk detected!","emergency"
"Structural damage, emergency!","emergency"
"Oxygen system failure!","emergency"
oxygen leak detected,emergency
toxic fumes detected,emergency
smoke detected in the cabin,emergency
fire detected in engine room,emergency
gas leak detected,emergency
crew is suffocating,emergency
oxygen levels dropping rapidly,emergency
heavy smoke spreading fast,emergency
dangerous fumes in the corridor,emergency
life support failing,emergency
critical oxygen failure,emergency
fire alarm triggered,emergency
explosion risk detected,emergency
cabin filling with smoke,emergency
toxic gas spreading inside,emergency
crew cannot breathe,emergency
emergency evacuation required,emergency
pressure dropping dangerously,emergency
hull breach detected,emergency
fire and smoke everywhere,emergency
